"Pipeline Name","Application Artifact","Application Name"
"cdh-adhocweb-az-cd","web_Lighthouse1.AdHoc.Web.API","Lighthouse1.AdHoc.Web.API"
"cdh-adminportal-az-cd","web_LH1OnDemand.WebApp.Admin","LH1OnDemand.WebApp.Admin"
"cdh-authservice-az-cd","web_WexHealth.Apps.Web.Employer.Auth.Service","WexHealth.Apps.Web.Employer.Auth.Service"
"cdh-balancequery-az-cd","web_Lighthouse1.Apps.Web.AutoPayBalanceInquiry","Lighthouse1.Apps.Web.AutoPayBalanceInquiry"
"cdh-bankingservice-az-cd","winsvc_BankingService.WindowsServiceHost","BankingService.WindowsServiceHost"
"cdh-batchprocesses-az-cd","exe_jobs","jobs"
"cdh-browserdeprecation-az-cd","web_lighthouse1.apps.web.browserdeprecationsite","lighthouse1.apps.web.browserdeprecationsite"
"cdh-cdex-fileloader-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav1-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav10-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav11-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav12-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav13-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav14-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav15-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav16-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav18-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav19-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav2-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav20-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav21-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav22-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav23-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav24-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav25-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav4-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav5-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
"cdh-cdex-fileloader-nav6-az-cd","winsvc_LH1.FileImport.FileLoaderService","LH1.FileImport.FileLoaderService"
